Método,Raiz,Erro,Iterações,Tempo (s)
Bissecção,1.1222490310668947,8.583068847878295e-07,19,1.4e-05
Posição Falsa,1.120397976862519,0.01245944650122155,1000,0.000429
Newton-Raphson,1.1222492519885199,5.061758754365542e-06,9,9e-06
Secante,1.122249251602054,1.536161713389106e-07,8,7e-06
